duration,gross,genres,actor_3_name,facenumber_in_poster,country,budget,title_year,movie_facebook_likes,ratio_rentabilite,imdb_score_disc,ratio_rentabilite_disc
178,760505847,action|adventure|fantasy|sci-fi,'wes studi',0,usa,237000000,2009,33000,3.208885,'\'Block4of4\'','\'Block4of4\''
169,309404152,action|adventure|fantasy,'jack davenport',0,usa,300000000,2007,0,1.031347,'\'Block3of4\'','\'Block2of4\''
148,200074175,action|adventure|thriller,'stephanie sigman',1,uk,245000000,2015,85000,0.816629,'\'Block3of4\'','\'Block2of4\''
164,448130642,action|thriller,'joseph gordon-levitt',0,usa,250000000,2012,164000,1.792523,'\'Block4of4\'','\'Block3of4\''
?,?,documentary,?,0,?,?,?,0,?,'\'Block3of4\'',?
132,73058679,action|adventure|sci-fi,'polly walker',1,usa,263700000,2012,24000,0.277052,'\'Block3of4\'','\'Block1of4\''
156,336530303,action|adventure|romance,'kirsten dunst',0,usa,258000000,2007,0,1.304381,'\'Block2of4\'','\'Block3of4\''
100,200807262,adventure|animation|comedy|family|fantasy|musical|romance,'m.c. gainey',1,usa,260000000,2010,29000,0.772336,'\'Block4of4\'','\'Block2of4\''
141,458991599,action|adventure|sci-fi,'scarlett johansson',4,usa,250000000,2015,118000,1.835966,'\'Block4of4\'','\'Block3of4\''
153,301956980,adventure|family|fantasy|mystery,'rupert grint',3,uk,250000000,2009,10000,1.207828,'\'Block4of4\'','\'Block3of4\''
183,330249062,action|adventure|sci-fi,'alan d. purwin',0,usa,250000000,2016,197000,1.320996,'\'Block3of4\'','\'Block3of4\''
169,200069408,action|adventure|sci-fi,'frank langella',0,usa,209000000,2006,0,0.95727,'\'Block2of4\'','\'Block2of4\''
106,168368427,action|adventure,'rory kinnear',1,uk,200000000,2008,0,0.841842,'\'Block3of4\'','\'Block2of4\''
151,423032628,action|adventure|fantasy,'jack davenport',2,usa,225000000,2006,5000,1.880145,'\'Block4of4\'','\'Block3of4\''
150,89289910,action|adventure|western,'tom wilkinson',1,usa,215000000,2013,48000,0.415302,'\'Block2of4\'','\'Block1of4\''
143,291021565,action|adventure|fantasy|sci-fi,'harry lennix',0,usa,225000000,2013,118000,1.293429,'\'Block3of4\'','\'Block3of4\''
150,141614023,action|adventure|family|fantasy,'damiÂ¡n alcÂ¡zar',4,usa,225000000,2008,0,0.629396,'\'Block3of4\'','\'Block2of4\''
